Species	Symbol	Ensembl	Family	Protein	Entrez ID
Homo_sapiens	ZNF224	ENSG00000267680	zf-C2H2	ENSP00000337368;	7767
Homo_sapiens	ATOH8	ENSG00000168874	bHLH	ENSP00000304676;	84913
Homo_sapiens	MECOM	ENSG00000085276	zf-C2H2	ENSP00000420072;ENSP00000419770;ENSP00000417299;ENSP00000394302;ENSP00000417506;ENSP00000420466;ENSP00000486104;ENSP00000417922;ENSP00000420048;ENSP00000264674;ENSP00000419757;ENSP00000417899;ENSP00000419995;	2122
Homo_sapiens	ZNF45	ENSG00000124459	zf-C2H2	ENSP00000269973;ENSP00000468579;ENSP00000481895;	7596
Homo_sapiens	ZNF674	ENSG00000251192	zf-C2H2	ENSP00000428248;ENSP00000429148;	641339
Homo_sapiens	ZXDA	ENSG00000198205	zf-C2H2	ENSP00000351530;	7789
Homo_sapiens	ST18	ENSG00000147488	zf-C2HC	ENSP00000428521;ENSP00000276480;	9705
Homo_sapiens	NKX6-2	ENSG00000148826	Homeobox	ENSP00000357581;	84504
Homo_sapiens	ZNF689	ENSG00000156853	zf-C2H2	ENSP00000287461;	115509
Homo_sapiens	ZNF449	ENSG00000173275	zf-C2H2	ENSP00000339585;	203523
Homo_sapiens	ZNF2	ENSG00000275111	zf-C2H2	ENSP00000480057;ENSP00000480297;ENSP00000483131;ENSP00000477960;ENSP00000482030;	7549
Homo_sapiens	TFDP2	ENSG00000114126	E2F	ENSP00000418122;ENSP00000417726;ENSP00000417585;ENSP00000417220;ENSP00000418971;ENSP00000420616;ENSP00000418590;ENSP00000439782;ENSP00000420599;ENSP00000419036;	7029
Homo_sapiens	ZBTB25	ENSG00000089775	ZBTB	ENSP00000378204;ENSP00000451046;ENSP00000476746;	7597
Homo_sapiens	PIAS4	ENSG00000105229	zf-MIZ	ENSP00000262971;	51588
Homo_sapiens	HES4	ENSG00000188290	bHLH	ENSP00000393198;ENSP00000425085;ENSP00000304595;	57801
Homo_sapiens	ZNF592	ENSG00000166716	zf-C2H2	ENSP00000452877;ENSP00000299927;	9640
Homo_sapiens	WT1	ENSG00000184937	zf-C2H2	ENSP00000491511;ENSP00000413452;ENSP00000331327;ENSP00000368370;ENSP00000415516;ENSP00000491984;ENSP00000435624;ENSP00000492269;ENSP00000435307;	7490
Homo_sapiens	ZBTB49	ENSG00000168826	ZBTB	ENSP00000338807;ENSP00000338807;ENSP00000425747;ENSP00000426765;ENSP00000424525;ENSP00000421654;ENSP00000422321;	166793
Homo_sapiens	PAX5	ENSG00000196092	PAX	ENSP00000429197;ENSP00000350844;ENSP00000430773;ENSP00000367078;ENSP00000429359;ENSP00000367084;ENSP00000429637;ENSP00000412188;ENSP00000367083;ENSP00000367071;ENSP00000404687;ENSP00000429291;ENSP00000431038;	5079
Homo_sapiens	MAFG	ENSG00000197063	TF_bZIP	ENSP00000376173;ENSP00000350369;ENSP00000459634;	4097
Homo_sapiens	ZNF837	ENSG00000152475	zf-C2H2	ENSP00000405699;ENSP00000471478;	116412
Homo_sapiens	FOXD4	ENSG00000170122	Fork_head	ENSP00000371940;	2298
Homo_sapiens	GATA3	ENSG00000107485	zf-GATA	ENSP00000341619;ENSP00000494926;ENSP00000368632;	2625
Homo_sapiens	HOMEZ	ENSG00000215271	Homeobox	ENSP00000453979;ENSP00000475307;ENSP00000350049;	57594
Homo_sapiens	ZNF26	ENSG00000198393	zf-C2H2	ENSP00000333725;ENSP00000437420;	7574
Homo_sapiens	ZSCAN20	ENSG00000121903	zf-C2H2	ENSP00000355053;	7579
Homo_sapiens	MEOX2	ENSG00000106511	Homeobox	ENSP00000262041;	4223
Homo_sapiens	DMRTA1	ENSG00000176399	DM	ENSP00000319651;	63951
Homo_sapiens	ZNF567	ENSG00000189042	zf-C2H2	ENSP00000467712;ENSP00000441838;ENSP00000467379;ENSP00000353957;	163081
Homo_sapiens	OVOL1	ENSG00000172818	zf-C2H2	ENSP00000434220;ENSP00000337862;	5017
Homo_sapiens	PRRX2	ENSG00000167157	Homeobox	ENSP00000361547;	51450
Homo_sapiens	MAFB	ENSG00000204103	TF_bZIP	ENSP00000362410;	9935
Homo_sapiens	ZNF195	ENSG00000005801	zf-C2H2	ENSP00000387998;ENSP00000344483;ENSP00000435828;ENSP00000431937;ENSP00000005082;ENSP00000346613;ENSP00000477630;ENSP00000382511;	7748
Homo_sapiens	ZNF75D	ENSG00000186376	zf-C2H2	ENSP00000359800;ENSP00000359802;	7626
Homo_sapiens	PIAS2	ENSG00000078043	zf-MIZ	ENSP00000317163;ENSP00000465676;ENSP00000443238;ENSP00000479025;	9063
Homo_sapiens	FOXJ1	ENSG00000129654	Fork_head	ENSP00000323880;	2302
Homo_sapiens	GRHL1	ENSG00000134317	CP2	ENSP00000418275;ENSP00000384209;ENSP00000324693;	29841
Homo_sapiens	KLF11	ENSG00000172059	zf-C2H2	ENSP00000444690;ENSP00000442722;ENSP00000307023;	8462
Homo_sapiens	ATF2	ENSG00000115966	TF_bZIP	ENSP00000407911;ENSP00000387093;ENSP00000389504;ENSP00000437952;ENSP00000376327;ENSP00000412293;ENSP00000386326;ENSP00000340576;ENSP00000264110;ENSP00000402229;ENSP00000406995;	1386
Homo_sapiens	NFAT5	ENSG00000102908	RHD	ENSP00000455628;ENSP00000346420;ENSP00000457593;ENSP00000486610;ENSP00000338806;ENSP00000377343;ENSP00000462061;	10725
Homo_sapiens	MXD1	ENSG00000059728	bHLH	ENSP00000410672;ENSP00000443935;ENSP00000264444;ENSP00000386523;	4084
Homo_sapiens	SMAD3	ENSG00000166949	MH1	ENSP00000332973;ENSP00000453082;ENSP00000401133;ENSP00000455095;ENSP00000437757;ENSP00000453684;ENSP00000458060;	4088
Homo_sapiens	DMRT2	ENSG00000173253	DM	ENSP00000397494;ENSP00000350865;ENSP00000259622;ENSP00000371690;ENSP00000489226;ENSP00000371686;	10655
Homo_sapiens	BARHL1	ENSG00000125492	Homeobox	ENSP00000263610;ENSP00000444704;	56751
Homo_sapiens	IKZF4	ENSG00000123411	zf-C2H2	ENSP00000450020;ENSP00000448419;ENSP00000412101;ENSP00000262032;	64375
Homo_sapiens	ZNF607	ENSG00000198182	zf-C2H2	ENSP00000347338;ENSP00000466785;ENSP00000438015;	84775
Homo_sapiens	E2F7	ENSG00000165891	E2F	ENSP00000449284;ENSP00000447963;ENSP00000393639;ENSP00000448245;ENSP00000323246;	144455
Homo_sapiens	ZNF595	ENSG00000272602	zf-C2H2	ENSP00000477392;ENSP00000476367;ENSP00000476408;	152687
Homo_sapiens	ETV5	ENSG00000244405	ETS	ENSP00000413755;ENSP00000306894;	2119
Homo_sapiens	CSRNP3	ENSG00000178662	CSRNP_N	ENSP00000344042;ENSP00000412081;ENSP00000387195;ENSP00000386278;ENSP00000318258;	80034
Homo_sapiens	CEBPD	ENSG00000221869	TF_bZIP	ENSP00000386165;	1052
Homo_sapiens	ZNF669	ENSG00000188295	zf-C2H2	ENSP00000342818;ENSP00000404370;	79862
Homo_sapiens	TBX22	ENSG00000122145	T-box	ENSP00000487527;ENSP00000362393;ENSP00000362390;	50945
Homo_sapiens	ZNF304	ENSG00000131845	zf-C2H2	ENSP00000401642;ENSP00000470319;ENSP00000282286;ENSP00000375586;	57343
Homo_sapiens	FOXN4	ENSG00000139445	Fork_head	ENSP00000347354;ENSP00000474754;ENSP00000299162;	121643
Homo_sapiens	TBX6	ENSG00000149922	T-box	ENSP00000279386;ENSP00000485762;ENSP00000461223;ENSP00000378650;ENSP00000460425;	6911
Homo_sapiens	ZBED2	ENSG00000177494	zf-BED	ENSP00000321370;	79413
Homo_sapiens	HES5	ENSG00000197921	bHLH	ENSP00000367714;	388585
Homo_sapiens	ZNF283	ENSG00000167637	zf-C2H2	ENSP00000468708;ENSP00000327314;ENSP00000484852;	284349
Homo_sapiens	PLAG1	ENSG00000181690	zf-C2H2	ENSP00000404067;ENSP00000325546;ENSP00000416537;	5324
Homo_sapiens	ZNF512B	ENSG00000196700	zf-C2H2	ENSP00000358904;	57473
Homo_sapiens	ZNF486	ENSG00000256229	zf-C2H2	ENSP00000335042;	90649
Homo_sapiens	ZMIZ2	ENSG00000122515	zf-MIZ	ENSP00000409648;ENSP00000311778;ENSP00000396601;ENSP00000483853;ENSP00000265346;ENSP00000414723;	83637
Homo_sapiens	TERF2	ENSG00000132604	MYB	ENSP00000254942;	7014
Homo_sapiens	TFAM	ENSG00000108064	HMG	ENSP00000363002;ENSP00000378776;ENSP00000420588;	7019
Homo_sapiens	LCORL	ENSG00000178177	HTH	ENSP00000371661;ENSP00000371659;	254251
Homo_sapiens	THAP5	ENSG00000177683	THAP	ENSP00000400500;ENSP00000415841;	168451
Homo_sapiens	TCF15	ENSG00000125878	bHLH	ENSP00000246080;	6939
Homo_sapiens	ZNF75A	ENSG00000162086	zf-C2H2	ENSP00000482769;ENSP00000459566;	7627
Homo_sapiens	HMGB2	ENSG00000164104	HMG	ENSP00000296503;ENSP00000423001;ENSP00000404912;ENSP00000393448;	3148
Homo_sapiens	EGR3	ENSG00000179388	zf-C2H2	ENSP00000318057;ENSP00000430310;	1960
Homo_sapiens	ZFP69B	ENSG00000187801	zf-C2H2	ENSP00000354547;ENSP00000399664;	65243
Homo_sapiens	USF1	ENSG00000158773	bHLH	ENSP00000356998;ENSP00000356999;ENSP00000433041;ENSP00000435005;ENSP00000357000;	7391
Homo_sapiens	TBR1	ENSG00000136535	T-box	ENSP00000387023;ENSP00000393934;ENSP00000374205;	10716
Homo_sapiens	SMAD2	ENSG00000175387	MH1	ENSP00000467075;ENSP00000466254;ENSP00000349282;ENSP00000468732;ENSP00000468202;ENSP00000465971;ENSP00000384449;ENSP00000465355;ENSP00000262160;ENSP00000466193;	4087
Homo_sapiens	ZNF165	ENSG00000197279	zf-C2H2	ENSP00000366542;	7718
Homo_sapiens	HOXA11	ENSG00000005073	Homeobox	ENSP00000448962;ENSP00000006015;	3207
Homo_sapiens	LMX1A	ENSG00000162761	Homeobox	ENSP00000356868;ENSP00000294816;ENSP00000340226;	4009
Homo_sapiens	LHX6	ENSG00000106852	Homeobox	ENSP00000362860;ENSP00000475927;ENSP00000362859;ENSP00000377854;ENSP00000340137;ENSP00000441464;	26468
Homo_sapiens	ZNF155	ENSG00000204920	zf-C2H2	ENSP00000385163;ENSP00000270014;ENSP00000465691;ENSP00000481677;	7711
Homo_sapiens	ZNF16	ENSG00000170631	zf-C2H2	ENSP00000378369;ENSP00000484504;ENSP00000276816;	7564
Homo_sapiens	ZNF225	ENSG00000256294	zf-C2H2	ENSP00000468686;ENSP00000262894;	7768
Homo_sapiens	ZSCAN10	ENSG00000130182	zf-C2H2	ENSP00000459520;ENSP00000440047;ENSP00000458879;ENSP00000252463;	84891
Homo_sapiens	HNF1B	ENSG00000275410	Homeobox	ENSP00000482529;ENSP00000480291;ENSP00000482711;ENSP00000477524;ENSP00000478682;	6928
Homo_sapiens	AC008758.1	ENSG00000196826	zf-C2H2	ENSP00000404127;	-
Homo_sapiens	HOXA13	ENSG00000106031	Homeobox	ENSP00000222753;	3209
Homo_sapiens	MKX	ENSG00000150051	Homeobox	ENSP00000452751;ENSP00000364946;ENSP00000400896;	283078
Homo_sapiens	TBX1	ENSG00000184058	T-box	ENSP00000331791;ENSP00000331176;ENSP00000352483;	6899
Homo_sapiens	ZNF70	ENSG00000187792	zf-C2H2	ENSP00000339314;	7621
Homo_sapiens	ZNF282	ENSG00000170265	zf-C2H2	ENSP00000477841;	8427
Homo_sapiens	PRDM13	ENSG00000112238	zf-C2H2	ENSP00000358217;	59336
Homo_sapiens	ZNF786	ENSG00000197362	zf-C2H2	ENSP00000313516;ENSP00000417470;	136051
Homo_sapiens	ZNF547	ENSG00000152433	zf-C2H2	ENSP00000282282;	284306
Homo_sapiens	EOMES	ENSG00000163508	T-box	ENSP00000295743;ENSP00000388620;ENSP00000487112;	8320
Homo_sapiens	HOXB1	ENSG00000120094	Homeobox	ENSP00000355140;ENSP00000494703;	3211
Homo_sapiens	ZKSCAN3	ENSG00000189298	zf-C2H2	ENSP00000341883;ENSP00000366465;ENSP00000252211;	80317
Homo_sapiens	ZNF648	ENSG00000179930	zf-C2H2	ENSP00000344129;	127665
Homo_sapiens	MECP2	ENSG00000169057	MBD	ENSP00000301948;ENSP00000395535;ENSP00000484470;ENSP00000479736;ENSP00000384865;ENSP00000486978;ENSP00000492871;	4204
Homo_sapiens	WIZ	ENSG00000011451	zf-C2H2	ENSP00000445824;ENSP00000469534;ENSP00000495441;ENSP00000373933;ENSP00000263381;ENSP00000469022;	58525
Homo_sapiens	ZNF317	ENSG00000130803	zf-C2H2	ENSP00000353554;ENSP00000247956;	57693
Homo_sapiens	ZGLP1	ENSG00000220201	zf-GATA	ENSP00000385403;ENSP00000384434;	100125288
Homo_sapiens	BACH2	ENSG00000112182	TF_bZIP	ENSP00000437473;ENSP00000257749;ENSP00000397668;ENSP00000345642;ENSP00000384145;	60468
Homo_sapiens	IRX4	ENSG00000113430	Homeobox	ENSP00000424235;ENSP00000231357;ENSP00000423161;ENSP00000482393;ENSP00000481396;	50805
Homo_sapiens	IRF4	ENSG00000137265	IRF	ENSP00000436094;ENSP00000370343;	3662
Homo_sapiens	HOXA9	ENSG00000078399	Homeobox	ENSP00000343619;	3205
Homo_sapiens	SMAD7	ENSG00000101665	MH1	ENSP00000467621;ENSP00000262158;	4092
Homo_sapiens	ZNF613	ENSG00000176024	zf-C2H2	ENSP00000490115;ENSP00000293471;ENSP00000375671;	79898
Homo_sapiens	SOX30	ENSG00000039600	HMG	ENSP00000427984;ENSP00000265007;ENSP00000309343;	11063
Homo_sapiens	TSC22D4	ENSG00000166925	TSC22	ENSP00000377560;ENSP00000388168;ENSP00000300181;	81628
Homo_sapiens	MEOX1	ENSG00000005102	Homeobox	ENSP00000321684;ENSP00000377271;	4222
Homo_sapiens	ZNF438	ENSG00000183621	zf-C2H2	ENSP00000406934;ENSP00000364460;ENSP00000354663;ENSP00000333571;ENSP00000445461;ENSP00000413060;ENSP00000387546;ENSP00000412363;	220929
Homo_sapiens	TCF4	ENSG00000196628	bHLH	ENSP00000457649;ENSP00000456125;ENSP00000455179;ENSP00000381382;ENSP00000439656;ENSP00000348374;ENSP00000457765;ENSP00000490451;ENSP00000486072;ENSP00000490006;ENSP00000455984;ENSP00000490883;ENSP00000490832;ENSP00000455418;ENSP00000486670;ENSP00000457263;ENSP00000490625;ENSP00000455135;ENSP00000439827;ENSP00000478549;ENSP00000441562;ENSP00000454647;ENSP00000454366;ENSP00000346440;ENSP00000445202;ENSP00000440731;ENSP00000409447;ENSP00000455763;ENSP00000455261;ENSP00000455346;ENSP00000494380;	6925
Homo_sapiens	ZBTB18	ENSG00000179456	ZBTB	ENSP00000481278;ENSP00000481278;ENSP00000351539;ENSP00000351539;	10472
Homo_sapiens	RBPJL	ENSG00000124232	CSL	ENSP00000361826;ENSP00000341243;ENSP00000483978;ENSP00000361828;	11317
Homo_sapiens	LYL1	ENSG00000104903	bHLH	ENSP00000264824;	4066
Homo_sapiens	BHLHE22	ENSG00000180828	bHLH	ENSP00000318799;	27319
Homo_sapiens	AC010422.6	ENSG00000269693	zf-C2H2	ENSP00000473043;	-
Homo_sapiens	IRF3	ENSG00000126456	IRF	ENSP00000469113;ENSP00000366344;ENSP00000473128;ENSP00000470140;ENSP00000473176;ENSP00000470431;ENSP00000470905;ENSP00000400378;ENSP00000471896;ENSP00000472223;ENSP00000470436;ENSP00000310127;ENSP00000471358;	3661
Homo_sapiens	ZNF260	ENSG00000254004	zf-C2H2	ENSP00000467219;ENSP00000465834;ENSP00000464964;ENSP00000429803;	339324
Homo_sapiens	PROX2	ENSG00000119608	HPD	ENSP00000451223;ENSP00000451463;	283571
Homo_sapiens	TP63	ENSG00000073282	P53	ENSP00000389485;ENSP00000387839;ENSP00000392488;ENSP00000407144;ENSP00000394337;ENSP00000376254;ENSP00000346614;ENSP00000376253;ENSP00000264731;ENSP00000317510;ENSP00000376256;ENSP00000401661;	8626
Homo_sapiens	HOXA6	ENSG00000106006	Homeobox	ENSP00000222728;	3203
Homo_sapiens	DMRTB1	ENSG00000143006	DM	ENSP00000360500;	63948
Homo_sapiens	CCDC169-SOHLH2	ENSG00000250709	bHLH	ENSP00000421868;	100526761
Homo_sapiens	YY2	ENSG00000230797	zf-C2H2	ENSP00000389381;	404281
Homo_sapiens	ZNF143	ENSG00000166478	zf-C2H2	ENSP00000379849;ENSP00000379843;ENSP00000299606;ENSP00000379847;ENSP00000432154;	7702
Homo_sapiens	PBRM1	ENSG00000163939	HMG	ENSP00000386643;ENSP00000338302;ENSP00000378307;ENSP00000386529;ENSP00000349213;ENSP00000386601;ENSP00000386593;ENSP00000387775;ENSP00000296302;	55193
Homo_sapiens	ZNF841	ENSG00000197608	zf-C2H2	ENSP00000415453;ENSP00000470746;ENSP00000374185;ENSP00000471190;	284371
Homo_sapiens	ADNP	ENSG00000101126	Homeobox	ENSP00000495540;ENSP00000342905;ENSP00000379346;ENSP00000360662;ENSP00000379349;ENSP00000483881;	23394
Homo_sapiens	SPIB	ENSG00000269404	ETS	ENSP00000391877;ENSP00000471921;	6689
Homo_sapiens	BCL11B	ENSG00000127152	zf-C2H2	ENSP00000387419;ENSP00000280435;ENSP00000349723;	64919
Homo_sapiens	ZNF513	ENSG00000163795	zf-C2H2	ENSP00000318373;ENSP00000384874;	130557
Homo_sapiens	NEUROD6	ENSG00000164600	bHLH	ENSP00000297142;	63974
Homo_sapiens	SRF	ENSG00000112658	SRF	ENSP00000265354;	6722
Homo_sapiens	TBXT	ENSG00000164458	T-box	ENSP00000355836;ENSP00000296946;ENSP00000355841;ENSP00000453512;	6862
Homo_sapiens	HOXD9	ENSG00000128709	Homeobox	ENSP00000249499;	3235
Homo_sapiens	ZBTB47	ENSG00000114853	ZBTB	ENSP00000420968;ENSP00000232974;ENSP00000232974;	92999
Homo_sapiens	ZNF22	ENSG00000165512	zf-C2H2	ENSP00000298299;	7570
Homo_sapiens	NFXL1	ENSG00000170448	zf-NF-X1	ENSP00000370949;ENSP00000425812;ENSP00000333113;ENSP00000422037;	152518
Homo_sapiens	ZNF543	ENSG00000178229	zf-C2H2	ENSP00000322545;	125919
Homo_sapiens	ZNF540	ENSG00000171817	zf-C2H2	ENSP00000465503;ENSP00000343768;ENSP00000324598;ENSP00000466274;ENSP00000467118;	163255
Homo_sapiens	SOX14	ENSG00000168875	HMG	ENSP00000305343;	8403
Homo_sapiens	TFAP4	ENSG00000090447	bHLH	ENSP00000459390;ENSP00000204517;	7023
Homo_sapiens	ASCL2	ENSG00000183734	bHLH	ENSP00000332293;	430
Homo_sapiens	HEY1	ENSG00000164683	bHLH	ENSP00000429705;ENSP00000346761;ENSP00000338272;	23462
Homo_sapiens	EBF3	ENSG00000108001	COE	ENSP00000347463;ENSP00000387543;ENSP00000357637;	253738
Homo_sapiens	XBP1	ENSG00000100219	TF_bZIP	ENSP00000216037;ENSP00000481170;ENSP00000343155;ENSP00000385162;ENSP00000384295;	7494
Homo_sapiens	ZNF562	ENSG00000171466	zf-C2H2	ENSP00000464716;ENSP00000410734;ENSP00000293648;	54811
Homo_sapiens	PROP1	ENSG00000175325	Homeobox	ENSP00000311290;	5626
Homo_sapiens	CDX4	ENSG00000131264	Homeobox	ENSP00000362613;	1046
Homo_sapiens	SOX10	ENSG00000100146	HMG	ENSP00000354130;ENSP00000399777;ENSP00000380093;ENSP00000414853;	6663
Homo_sapiens	BORCS8-MEF2B	ENSG00000064489	SRF	ENSP00000390762;ENSP00000454967;	4207
Homo_sapiens	ZNF211	ENSG00000121417	zf-C2H2	ENSP00000240731;ENSP00000339562;ENSP00000299871;ENSP00000442601;ENSP00000254182;ENSP00000384436;ENSP00000375584;	10520
Homo_sapiens	ZNF266	ENSG00000174652	zf-C2H2	ENSP00000466714;ENSP00000467151;ENSP00000468491;ENSP00000467315;ENSP00000467403;	10781
Homo_sapiens	ZNF580	ENSG00000213015	zf-C2H2	ENSP00000446126;ENSP00000320050;ENSP00000443957;	51157
Homo_sapiens	OVOL3	ENSG00000105261	zf-C2H2	ENSP00000487603;ENSP00000465620;	728361
Homo_sapiens	ZNF391	ENSG00000124613	zf-C2H2	ENSP00000419498;ENSP00000244576;	346157
Homo_sapiens	ATOH1	ENSG00000172238	bHLH	ENSP00000302216;	474
Homo_sapiens	ATF5	ENSG00000169136	TF_bZIP	ENSP00000470633;ENSP00000396954;	22809
Homo_sapiens	MYB	ENSG00000118513	MYB	ENSP00000432948;ENSP00000432877;ENSP00000434723;ENSP00000434816;ENSP00000326328;ENSP00000435578;ENSP00000437264;ENSP00000410825;ENSP00000434420;ENSP00000433844;ENSP00000477898;ENSP00000435293;ENSP00000434795;ENSP00000434639;ENSP00000356788;ENSP00000390460;ENSP00000432168;ENSP00000437081;ENSP00000403387;ENSP00000436925;ENSP00000435938;ENSP00000432851;ENSP00000436602;ENSP00000341050;ENSP00000435595;ENSP00000435055;ENSP00000432811;ENSP00000413011;ENSP00000356786;ENSP00000433227;ENSP00000479896;ENSP00000436605;ENSP00000433458;ENSP00000434917;ENSP00000436385;ENSP00000433745;ENSP00000435497;ENSP00000339992;	4602
Homo_sapiens	ALX3	ENSG00000156150	Homeobox	ENSP00000358807;	257
Homo_sapiens	SP2	ENSG00000167182	zf-C2H2	ENSP00000365931;	6668
Homo_sapiens	THAP2	ENSG00000173451	THAP	ENSP00000310796;	83591
Homo_sapiens	GATA2	ENSG00000179348	zf-GATA	ENSP00000417074;ENSP00000345681;ENSP00000400259;	2624
Homo_sapiens	CDX2	ENSG00000165556	Homeobox	ENSP00000370408;	1045
Homo_sapiens	OLIG2	ENSG00000205927	bHLH	ENSP00000371794;ENSP00000331040;	10215
Homo_sapiens	SIM1	ENSG00000112246	bHLH	ENSP00000358210;ENSP00000262901;	6492
Homo_sapiens	ZNF445	ENSG00000185219	zf-C2H2	ENSP00000413073;ENSP00000379387;	353274
Homo_sapiens	YBX2	ENSG00000006047	CSD	ENSP00000007699;	51087
Homo_sapiens	ZBTB10	ENSG00000205189	ZBTB	ENSP00000368384;ENSP00000368384;ENSP00000484716;ENSP00000484716;ENSP00000416134;ENSP00000416134;ENSP00000412036;ENSP00000412036;ENSP00000387462;ENSP00000387462;	65986
Homo_sapiens	ZIK1	ENSG00000171649	zf-C2H2	ENSP00000472867;ENSP00000468937;ENSP00000438487;	284307
Homo_sapiens	ZNF611	ENSG00000213020	zf-C2H2	ENSP00000443505;ENSP00000439211;ENSP00000437616;ENSP00000322427;ENSP00000469376;ENSP00000472648;	81856
Homo_sapiens	DLX2	ENSG00000115844	Homeobox	ENSP00000234198;ENSP00000446904;	1746
Homo_sapiens	RREB1	ENSG00000124782	zf-C2H2	ENSP00000420519;ENSP00000369270;ENSP00000419511;ENSP00000369265;ENSP00000420299;ENSP00000305560;ENSP00000335574;ENSP00000483108;	6239
Homo_sapiens	GATA1	ENSG00000102145	zf-GATA	ENSP00000365853;ENSP00000365858;	2623
Homo_sapiens	BHLHA15	ENSG00000180535	bHLH	ENSP00000326391;ENSP00000476312;	168620
Homo_sapiens	SOX21	ENSG00000125285	HMG	ENSP00000366144;	11166
Homo_sapiens	MAFA	ENSG00000182759	TF_bZIP	ENSP00000328364;	389692
Homo_sapiens	PITX1	ENSG00000069011	Homeobox	ENSP00000451199;ENSP00000423624;ENSP00000427542;ENSP00000265340;ENSP00000422908;	5307
Homo_sapiens	ZNF286B	ENSG00000249459	zf-C2H2	ENSP00000461413;	729288
